"longitude","latitude","species","geometry","color"
151.0787971667,-33.83567,"Limosa lapponica",c(151.0787971667, -33.83567),"#509E2F"
145.7636368202,-16.9040581934,"Limosa lapponica",c(145.7636368202, -16.9040581934),"#509E2F"
153.1089209345,-27.0479261904,"Limosa lapponica",c(153.1089209345, -27.0479261904),"#509E2F"
153.1089662678,-27.0477643687,"Limosa lapponica",c(153.1089662678, -27.0477643687),"#509E2F"
149.9111905171,-36.8891194239,"Limosa lapponica",c(149.9111905171, -36.8891194239),"#509E2F"
149.9190011097,-36.8888105106,"Limosa lapponica",c(149.9190011097, -36.8888105106),"#509E2F"
149.9190869404,-36.8888105106,"Limosa lapponica",c(149.9190869404, -36.8888105106),"#509E2F"
145.7726916667,-16.914475,"Limosa lapponica",c(145.7726916667, -16.914475),"#509E2F"
150.7436481593,-34.8595251958,"Limosa lapponica",c(150.7436481593, -34.8595251958),"#509E2F"
145.775042,-16.9166449722,"Limosa lapponica",c(145.775042, -16.9166449722),"#509E2F"
148.7206572,-20.2684987997,"Limosa lapponica",c(148.7206572, -20.2684987997),"#509E2F"
114.9431378284,-29.298100727,"Limosa lapponica",c(114.9431378284, -29.298100727),"#509E2F"
152.1716916667,-32.673155,"Limosa lapponica",c(152.1716916667, -32.673155),"#509E2F"
150.74373399,-34.8600181964,"Limosa lapponica",c(150.74373399, -34.8600181964),"#509E2F"
145.7770102264,-16.9182279846,"Limosa lapponica",c(145.7770102264, -16.9182279846),"#509E2F"
145.7700667726,-16.9081826622,"Limosa lapponica",c(145.7700667726, -16.9081826622),"#509E2F"
145.7651842619,-16.9036628621,"Limosa lapponica",c(145.7651842619, -16.9036628621),"#509E2F"
145.7768889345,-16.9185368553,"Limosa lapponica",c(145.7768889345, -16.9185368553),"#509E2F"
150.7764544591,-34.9409259665,"Limosa lapponica",c(150.7764544591, -34.9409259665),"#509E2F"
145.7747334644,-16.9152773701,"Limosa lapponica",c(145.7747334644, -16.9152773701),"#509E2F"
150.7470813868,-34.8555106521,"Limosa lapponica",c(150.7470813868, -34.8555106521),"#509E2F"
150.7454506037,-34.8580461762,"Limosa lapponica",c(150.7454506037, -34.8580461762),"#509E2F"
150.7445922969,-34.8598069108,"Limosa lapponica",c(150.7445922969, -34.8598069108),"#509E2F"
150.7465664027,-34.8550176244,"Limosa lapponica",c(150.7465664027, -34.8550176244),"#509E2F"
145.7642108301,-16.9057414597,"Limosa lapponica",c(145.7642108301, -16.9057414597),"#509E2F"
153.0393467,-27.0311714,"Limosa lapponica",c(153.0393467, -27.0311714),"#509E2F"
153.2093079611,-27.4821364025,"Limosa lapponica",c(153.2093079611, -27.4821364025),"#509E2F"
150.7447639582,-34.8593843379,"Limosa lapponica",c(150.7447639582, -34.8593843379),"#509E2F"
150.7442489741,-34.8589617629,"Limosa lapponica",c(150.7442489741, -34.8589617629),"#509E2F"
145.7670301483,-16.9060590632,"Limosa lapponica",c(145.7670301483, -16.9060590632),"#509E2F"
150.746438,-34.854842,"Limosa lapponica",c(150.746438, -34.854842),"#509E2F"
142.508,-10.7083,"Limosa lapponica",c(142.508, -10.7083),"#509E2F"
153.169,-27.4251,"Limosa lapponica",c(153.169, -27.4251),"#509E2F"
151.208,-33.9611,"Limosa lapponica",c(151.208, -33.9611),"#509E2F"
153.096,-27.3427,"Limosa lapponica",c(153.096, -27.3427),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
152.939,-25.7612,"Limosa lapponica",c(152.939, -25.7612),"#509E2F"
150.773,-34.9466,"Limosa lapponica",c(150.773, -34.9466),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.428,-27.9503,"Limosa lapponica",c(153.428, -27.9503),"#509E2F"
152.85,-31.4162,"Limosa lapponica",c(152.85, -31.4162),"#509E2F"
151.467,-33.3276,"Limosa lapponica",c(151.467, -33.3276),"#509E2F"
135.70121,-18.74855,"Limosa lapponica",c(135.70121, -18.74855),"#509E2F"
153.194,-27.4546,"Limosa lapponica",c(153.194, -27.4546),"#509E2F"
153.163,-27.4113,"Limosa lapponica",c(153.163, -27.4113),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.053,-27.1319,"Limosa lapponica",c(153.053, -27.1319),"#509E2F"
153.194,-27.4546,"Limosa lapponica",c(153.194, -27.4546),"#509E2F"
153.096,-27.3427,"Limosa lapponica",c(153.096, -27.3427),"#509E2F"
153.037,-27.2991,"Limosa lapponica",c(153.037, -27.2991),"#509E2F"
145.772,-16.9141,"Limosa lapponica",c(145.772, -16.9141),"#509E2F"
143.706,-37.4312,"Limosa lapponica",c(143.706, -37.4312),"#509E2F"
153.04,-27.2776,"Limosa lapponica",c(153.04, -27.2776),"#509E2F"
150.508,-35.2671,"Limosa lapponica",c(150.508, -35.2671),"#509E2F"
150.746,-34.8606,"Limosa lapponica",c(150.746, -34.8606),"#509E2F"
153.203,-27.4779,"Limosa lapponica",c(153.203, -27.4779),"#509E2F"
153.111,-27.1999,"Limosa lapponica",c(153.111, -27.1999),"#509E2F"
152.903,-31.4181,"Limosa lapponica",c(152.903, -31.4181),"#509E2F"
151.126,-33.9853,"Limosa lapponica",c(151.126, -33.9853),"#509E2F"
151.79,-32.8834,"Limosa lapponica",c(151.79, -32.8834),"#509E2F"
153.099,-26.6401,"Limosa lapponica",c(153.099, -26.6401),"#509E2F"
147.531,-42.7903,"Limosa lapponica",c(147.531, -42.7903),"#509E2F"
145.776,-16.9183,"Limosa lapponica",c(145.776, -16.9183),"#509E2F"
152.905,-25.6689,"Limosa lapponica",c(152.905, -25.6689),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
146.677,-19.1913,"Limosa lapponica",c(146.677, -19.1913),"#509E2F"
153.038,-27.2769,"Limosa lapponica",c(153.038, -27.2769),"#509E2F"
145.247,-15.4648,"Limosa lapponica",c(145.247, -15.4648),"#509E2F"
152.603,-31.9547,"Limosa lapponica",c(152.603, -31.9547),"#509E2F"
